time (ms),linescan_near,velocity (m/s)
30,"[15, 19, 18, 17, 17, 17, 18, 21, 23, 24, 24, 23, 23, 22, 22, 23, 23, 24, 26, 25, 25, 25, 26, 26, 26, 26, 25, 25, 25, 25, 24, 25, 24, 25, 24, 24, 24, 23, 24, 24, 24, 24, 25, 26, 26, 24, 25, 26, 24, 24, 25, 25, 26, 26, 28, 29, 26, 24, 26, 24, 24, 24, 24, 24, 24, 24, 27, 28, 59, 79, 56, 29, 25, 23, 25, 24, 25, 25, 25, 23, 23, 24, 27, 24, 25, 22, 21, 23, 25, 27, 26, 22, 22, 27, 24, 24, 24, 25, 23, 23, 23, 23, 23, 23, 24, 24, 24, 24, 24, 23, 24, 24, 25, 24, 23, 22, 22, 22, 20, 20, 23, 22, 21, 20, 18, 18, 19, 19]",0
45,"[14, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 56, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 22, 26, 24, 24, 24, 24, 23, 23, 22, 22, 23, 22, 23, 23, 23, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 21, 19, 20, 22, 20, 20, 18, 17, 18, 17, 18]",0
60,"[13, 16, 16, 16, 16, 15, 16, 18, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 25, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 23, 24, 24, 23, 23, 22, 22, 23, 22, 23, 23, 22, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 20, 19, 17, 17, 17, 18]",0
75,"[14, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 24, 24, 24, 24, 24, 24, 23, 23, 23, 23, 23, 22, 23, 23, 23, 22, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 77, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 19, 18, 17, 17, 17, 17]",0
90,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 22, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 23, 23, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 19, 18, 17, 18, 17, 18]",0
104,"[13, 17, 17, 16, 16, 15, 17, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 23, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 19, 18, 17, 17, 17, 18]",0
119,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 24, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 23, 22, 22, 23, 22, 23, 23, 23, 24, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 19, 18, 17, 18, 17, 18]",0
134,"[14, 17, 17, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 27, 28, 25, 24, 25, 24, 23, 23, 23, 23, 24, 23, 26, 27, 58, 78, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 22, 21, 22, 24, 26, 25, 21, 22, 26, 24, 24, 24, 24, 23, 23, 22, 22, 23, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 19, 22, 20, 20, 18, 17, 17, 17, 18]",0
149,"[13, 17, 16, 16, 16, 15, 16, 19, 21, 22, 22, 22, 22, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 26, 28, 25, 24, 25, 23, 23, 23, 23, 23, 24, 23, 26, 27, 58, 77, 55, 28, 24, 22, 24, 23, 24, 24, 24, 23, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 24, 24, 24, 23, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 19, 18, 17, 18, 17, 18]",0
164,"[17, 17, 16, 16, 15, 15, 16, 19, 21, 22, 21, 21, 21, 21, 21, 21, 22, 23, 24, 24, 24, 24, 25, 25, 25, 24, 24, 24, 24, 24, 23, 24, 23, 23, 23, 22, 23, 22, 23, 23, 23, 23, 24, 25, 25, 23, 24, 26, 23, 23, 24, 24, 25, 25, 26, 28, 25, 23, 25, 23, 23, 23, 23, 23, 23, 23, 26, 27, 58, 77, 55, 28, 24, 22, 24, 23, 24, 24, 24, 22, 23, 23, 26, 24, 24, 21, 21, 22, 24, 26, 25, 21, 21, 26, 24, 23, 23, 24, 22, 22, 22, 22, 22, 22, 23, 23, 22, 23, 23, 23, 23, 23, 24, 23, 22, 21, 21, 20, 19, 20, 22, 20, 19, 18, 17, 18, 17, 18]",0
